#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 1.39479 fm^-1 (group = 10)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = -42.44 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-255.273      -46.206       0.0214531            1.39479
-254.573      -46.2255       0.0219779            1.39479
-253.873      -46.2453       0.022527            1.39479
-253.173      -46.2655       0.0231022            1.39479
-252.473      -46.286       0.0237056            1.39479
-251.773      -46.307       0.0243395            1.39479
-251.073      -46.3283       0.0250065            1.39479
-250.373      -46.3501       0.0257095            1.39479
-249.673      -46.3723       0.0264518            1.39479
-248.973      -46.3951       0.0272371            1.39479
-248.273      -46.4183       0.0280696            1.39479
-247.573      -46.442       0.0289542            1.39479
-246.873      -46.4663       0.0298964            1.39479
-246.173      -46.4912       0.0309026            1.39479
-245.473      -46.5168       0.0319803            1.39479
-244.773      -46.543       0.0331382            1.39479
-244.073      -46.57       0.0343866            1.39479
-243.373      -46.5977       0.0357379            1.39479
-242.673      -46.6263       0.0372067            1.39479
-241.973      -46.6558       0.038811            1.39479
-241.273      -46.6864       0.0405727            1.39479
-240.573      -46.718       0.0425194            1.39479
-239.873      -46.7508       0.0446856            1.39479
-239.173      -46.785       0.0471159            1.39479
-238.473      -46.8207       0.0498687            1.39479
-237.773      -46.8581       0.0530226            1.39479
-237.073      -46.8974       0.0566858            1.39479
-236.373      -46.939       0.0610124            1.39479
-235.673      -46.9832       0.0662301            1.39479
-234.973      -47.0306       0.0726902            1.39479
-234.273      -47.0818       0.080964            1.39479
-233.573      -47.1378       0.0920394            1.39479
-232.873      -47.1998       0.107752            1.39479
-232.173      -47.2693       0.1318            1.39479
-231.473      -47.3468       0.172196            1.39479
-230.773      -47.4246       0.246021            1.39479
-230.073      -47.4565       0.370872            1.39479
-229.373      -47.3654       0.452512            1.39479
-228.673      -47.3134       0.371918            1.39479
-227.973      -47.3905       0.297361            1.39479
-227.273      -47.5081       0.286316            1.39479
-226.573      -47.62       0.323115            1.39479
-225.873      -47.7099       0.362675            1.39479
-225.173      -47.8392       0.389909            1.39479
-224.473      -48.0234       0.470204            1.39479
-223.773      -48.2348       0.651719            1.39479
-223.073      -48.3981       0.99551            1.39479
-222.373      -48.3319       1.42477            1.39479
-221.673      -48.18       1.74689            1.39479
-220.973      -47.8165       2.2485            1.39479
-220.273      -46.902       2.20994            1.39479
-219.573      -46.5775       1.49849            1.39479
-218.873      -46.7846       1.04223            1.39479
-218.173      -47.0581       0.87525            1.39479
-217.473      -47.3034       0.834859            1.39479
-216.773      -47.5261       0.898449            1.39479
-216.073      -47.7065       0.986916            1.39479
-215.373      -47.9881       1.15344            1.39479
-214.673      -48.2706       1.63802            1.39479
-213.973      -48.1256       2.48582            1.39479
-213.273      -47.2631       3.08987            1.39479
-212.573      -46.0756       2.94531            1.39479
-211.873      -45.4617       1.97121            1.39479
-211.173      -45.6046       1.18801            1.39479
-210.473      -45.9102       0.777766            1.39479
-209.773      -46.1896       0.566052            1.39479
-209.073      -46.4217       0.457075            1.39479
-208.373      -46.5964       0.400408            1.39479
-207.673      -46.7364       0.340269            1.39479
-206.973      -46.8851       0.287219            1.39479
-206.273      -47.0338       0.258197            1.39479
-205.573      -47.1761       0.249716            1.39479
-204.873      -47.3094       0.262147            1.39479
-204.173      -47.4187       0.293413            1.39479
-203.473      -47.5011       0.304635            1.39479
-202.773      -47.6144       0.297989            1.39479
-202.073      -47.7574       0.326064            1.39479
-201.373      -47.9028       0.416092            1.39479
-200.673      -47.985       0.60078            1.39479
-199.973      -47.8454       0.776456            1.39479
-199.273      -47.6634       0.64809            1.39479
-198.573      -47.7187       0.449373            1.39479
-197.873      -47.8644       0.344652            1.39479
-197.173      -48.0143       0.301715            1.39479
-196.473      -48.1527       0.28018            1.39479
-195.773      -48.2961       0.26461            1.39479
-195.073      -48.4482       0.261593            1.39479
-194.373      -48.6066       0.269993            1.39479
-193.673      -48.7734       0.288433            1.39479
-192.973      -48.9523       0.318336            1.39479
-192.273      -49.1472       0.364855            1.39479
-191.573      -49.3605       0.439922            1.39479
-190.873      -49.5808       0.566162            1.39479
-190.173      -49.754       0.746307            1.39479
-189.473      -49.87       0.89615            1.39479
-188.773      -49.998       1.00845            1.39479
-188.073      -50.1639       1.12468            1.39479
-187.373      -50.302       1.21438            1.39479
-186.673      -50.5979       1.21394            1.39479
-185.973      -51.1059       1.36511            1.39479
-185.273      -51.7055       1.79922            1.39479
-184.573      -52.1899       2.63118            1.39479
-183.873      -52.1779       3.59657            1.39479
-183.173      -52.1365       4.29164            1.39479
-182.473      -52.1113       5.30239            1.39479
-181.773      -51.7193       6.57624            1.39479
-181.073      -50.5987       8.09665            1.39479
-180.373      -47.9809       8.71392            1.39479
-179.673      -46.3138       7.00661            1.39479
-178.973      -46.6043       6.10197            1.39479
-178.273      -46.1174       6.65172            1.39479
-177.573      -44.2902       5.88506            1.39479
-176.873      -43.9315       3.93976            1.39479
-176.173      -44.5767       2.68283            1.39479
-175.473      -45.3382       2.09484            1.39479
-174.773      -45.9522       1.88936            1.39479
-174.073      -46.3235       1.83005            1.39479
-173.373      -46.636       1.73865            1.39479
-172.673      -46.8506       1.77845            1.39479
-171.973      -46.8583       1.6258            1.39479
-171.273      -47.1184       1.28129            1.39479
-170.573      -47.5818       1.09885            1.39479
-169.873      -48.0813       1.10253            1.39479
-169.173      -48.5467       1.28548            1.39479
-168.473      -48.8799       1.6225            1.39479
-167.773      -49.0013       2.0802            1.39479
-167.073      -48.6385       2.35125            1.39479
-166.373      -48.4672       1.93054            1.39479
-165.673      -48.8818       1.56325            1.39479
-164.973      -49.4826       1.50314            1.39479
-164.273      -50.1015       1.64192            1.39479
-163.573      -50.8221       1.91394            1.39479
-162.873      -51.7269       2.51029            1.39479
-162.173      -52.7255       3.76343            1.39479
-161.473      -53.255       6.25648            1.39479
-160.773      -51.1648       9.68282            1.39479
-160.073      -46.4839       9.45248            1.39479
-159.373      -45.0343       6.4175            1.39479
-158.673      -45.6576       4.78679            1.39479
-157.973      -46.2307       4.2781            1.39479
