#
#
#   poles of the irreducible self-energy (both particle and hole)
#
#   k = 1.97253 fm^-1      and E_F = -52.0162 MeV
#
#
#    E              |M_kE|^2

-248.979       -1.55124e-15
-247.569       -0.205518
-247.08       2.04211e-15
-246.477       -1.56939e-15
-246.111       4.68577e-16
-246.023       -3.15212e-15
-245.845       5.9424e-16
-245.672       -4.28187e-15
-244.782       4.57095e-17
-244.231       0.485745
-243.155       8.85907e-16
-242.814       -1.53858e-15
-242.664       2.57713e-15
-242.036       1.1905e-15
-242.034       -4.25231e-15
-241.491       -0.305411
-241.155       -5.06712e-16
-239.994       0.0677892
-239.983       -1.95626e-16
-239.701       2.04256e-16
-239.378       -2.40519e-15
-239.364       -1.44976e-14
-239.279       -3.4651e-15
-239.152       0.218945
-239.101       6.16596e-15
-238.954       5.91985e-14
-238.857       -6.34758e-15
-238.775       0.159112
-238.66       -1.51318e-15
-238.277       -2.27828e-15
-238.19       -1.75988e-15
-238.106       1.62775e-14
-238.021       0.0266376
-237.912       2.44744e-16
-237.799       -1.52216e-16
-237.633       1.03475e-16
-237.075       1.10904e-15
-237.038       6.00548e-16
-236.707       -3.64073e-15
-236.569       -8.0232e-16
-235.623       6.44979e-15
-235.184       0.290706
-234.308       4.24854e-15
-234.252       3.58446e-15
-233.248       -0.493716
-232.999       1.27824e-15
-232.577       0.839579
-232.453       2.75925e-15
-231.923       -7.9617e-15
-231.468       0.0242005
-230.989       -3.11701e-16
-230.376       2.17107e-16
-228.611       -6.32716e-15
-228.445       0.209881
-223.304       5.97507e-16
-222.887       -0.271772
-222.44       -4.85364e-15
-219.269       0.126597
-212.258       -8.98169e-16
-211.943       -1.22824e-16
-211.182       -1.72336e-15
-210.934       -9.85243e-16
-210.788       -0.0793768
-210.756       2.12666e-14
-210.527       5.07465e-16
-210.266       1.34528e-15
-210.191       0.0160345
-209.994       -2.15954e-15
-209.513       -3.53747e-15
-209.117       -5.16765e-14
-209.078       -0.184585
-208.959       1.15411e-14
-207.927       3.81515e-15
-206.804       6.54488e-14
-206.742       0.101415
-206.375       -0.608631
-205.44       0.065842
-204.659       -0.867705
-204.301       0.610878
-203.762       -0.391904
-203.433       0.0432756
-202.95       0.60017
-202.431       -0.247349
-202.265       -0.0399313
-202.174       -0.65567
-201.925       0.0777095
-201.869       0.356195
-201.549       -0.401691
-201.271       -0.0756959
-200.95       -0.264439
-200.565       0.112971
-200.429       0.427524
-200.115       0.00334404
-199.303       -0.529063
-199.091       -0.32726
-198.589       0.0404269
-198.19       0.467286
-197.861       0.799127
-197.695       -0.632763
-197.527       -0.567999
-196.77       0.468334
-196.529       0.151933
-196.064       0.936255
-195.639       -1.09441
-195.431       -1.09776
-195.036       0.88092
-194.79       0.470066
-194.325       0.298951
-194.03       -0.671054
-193.727       -0.109834
-193.538       -0.166882
-192.658       0.643855
-192.358       -0.702427
-191.156       -0.0240568
-190.844       -0.596924
-190.419       0.280973
-190.136       0.396585
-190.09       0.0322953
-189.888       -0.411517
-189.271       -0.0471619
-189.052       -0.0964318
-188.687       -0.141254
-188.363       0.289336
-187.91       0.233801
-187.756       0.0750246
-187.52       -0.356429
-186.874       -0.358486
-185.991       0.142471
-182.862       -0.609561
-182.26       0.265183
-180.909       -0.241438
-180.49       0.158775
-180.215       0.00211836
-179.27       -0.0207493
-178.04       -0.00526801
-177.806       -0.109239
-177.539       -0.138505
-177.112       0.351143
-175.823       -0.635015
-175.6       0.44278
-174.818       0.430765
-173.785       -0.760408
-173.338       0.509999
-172.833       0.0833122
-172.322       -0.200275
-172.026       -0.0825009
-170.67       -0.217548
-170.188       0.140554
-168.114       -0.254666
-167.761       5.12848e-14
-167.401       0.66017
-166.299       -0.576667
-166.033       0.0449706
-165.535       0.78759
-163.73       -4.02453e-15
-162.809       1.54732e-13
-162.696       -0.376372
-162.298       1.14421
-161.661       -1.7087
-161.467       2.57866e-14
-160.44       0.28261
-160.234       -0.136499
-158.962       0.0139637
-158.295       -1.9132e-14
-158.177       -1.05532
-152.147       2.17917e-16
-150.701       0.144945
-150.672       -1.89166e-14
-149.53       -4.70523e-15
-149.268       -0.502877
-147.703       0.477209
-146.477       -0.0601148
-146       1.07878
-144.463       -0.00294831
-143.899       -0.17345
-143.68       0.165825
-143.247       0.628654
-143.151       -8.17532e-05
-142.835       -0.425036
-142.228       -0.42309
-141.888       0.649147
-141.693       0.997023
-141.558       0.202415
-141.348       -0.993113
-140.964       -0.478363
-140.421       0.437119
-140.189       0.583424
-139.715       0.442021
-139.374       -0.644855
-139.185       -1.40275
-138.61       0.787016
-138.163       0.841877
-137.844       -2.25132
-137.295       -0.772065
-136.819       0.411608
-136.454       0.548933
-136.201       0.616361
-135.922       -0.860776
-135.411       -0.547083
-135.229       -0.600775
-134.785       0.614554
-134.524       0.834754
-134.191       -0.752968
-133.633       -0.442992
-133.392       0.745731
-133.208       0.264535
-132.641       0.589173
-132.282       -0.432033
-131.997       -0.237433
-131.703       -0.795146
-131.58       0.696452
-131.232       0.123666
-130.798       0.722151
-130.72       -0.637769
-130.44       -0.641277
-130.29       0.344944
-130.234       0.351491
-129.931       0.197704
-129.379       -0.0857009
-129.016       0.689456
-128.83       0.00962632
-128.243       0.0181984
-127.915       -0.211313
-127.615       0.267596
-126.854       -0.176498
-126.587       0.378338
-126.136       -0.323378
-125.777       0.186633
-125.287       9.55222e-17
-122.232       4.73186e-16
-121.309       -0.227142
-119.997       -3.43895e-14
-119.802       1.32398
-119.483       -2.0387
-116.78       0.972926
-108.386       8.80482e-16
-108.14       -3.69931e-15
-106.923       6.64699e-17
-106.86       0.105118
-106.728       2.16692e-15
-106.644       1.43534e-15
-106.237       2.7791e-15
-106.139       1.10133e-15
-105.52       -1.40512e-15
-105.377       0.00644097
-105.273       1.86467e-15
-105.157       0.0451664
-105.096       -1.5701e-13
-104.812       -1.17991e-15
-104.645       -6.76854e-16
-104.563       0.179737
-104.374       4.78441e-16
-104.249       1.19964e-15
-104.092       6.451e-16
-103.257       1.23843e-15
-102.854       4.88049e-16
-102.73       7.60776e-15
-102.59       8.52339e-15
-102.524       -0.285346
-102.296       0.1489
-102.292       1.25945e-13
-101.955       -4.49691e-15
-101.814       -6.65646e-15
-101.587       -1.36611
-101.391       -5.67168e-15
-101.122       0.748001
