#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 2.27768 fm^-1 (group = 7)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = 39.6058 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-280.96      38.0788       -0.000435561            2.27768
-280.26      38.0739       -0.000380404            2.27768
-279.56      38.069       -0.000322537            2.27768
-278.86      38.064       -0.000261774            2.27768
-278.16      38.0589       -0.000197911            2.27768
-277.46      38.0538       -0.000130721            2.27768
-276.76      38.0487       -5.99528e-05            2.27768
-276.06      38.0434       1.46711e-05            2.27768
-275.36      38.0381       9.34615e-05            2.27768
-274.66      38.0327       0.000176766            2.27768
-273.96      38.0273       0.000264977            2.27768
-273.26      38.0218       0.000358536            2.27768
-272.56      38.0161       0.000457946            2.27768
-271.86      38.0105       0.000563782            2.27768
-271.16      38.0047       0.000676704            2.27768
-270.46      37.9988       0.000797478            2.27768
-269.76      37.9928       0.000926994            2.27768
-269.06      37.9868       0.0010663            2.27768
-268.36      37.9806       0.00121665            2.27768
-267.66      37.9743       0.00137952            2.27768
-266.96      37.9679       0.00155671            2.27768
-266.26      37.9613       0.00175046            2.27768
-265.56      37.9546       0.00196349            2.27768
-264.86      37.9478       0.00219929            2.27768
-264.16      37.9408       0.00246232            2.27768
-263.46      37.9336       0.00275841            2.27768
-262.76      37.9262       0.00309539            2.27768
-262.06      37.9186       0.003484            2.27768
-261.36      37.9107       0.00393942            2.27768
-260.66      37.9025       0.00448386            2.27768
-259.96      37.8939       0.00515109            2.27768
-259.26      37.8849       0.00599487            2.27768
-258.56      37.8755       0.00710553            2.27768
-257.86      37.8653       0.00864478            2.27768
-257.16      37.8544       0.0109242            2.27768
-256.46      37.8424       0.0145933            2.27768
-255.76      37.8297       0.0210798            2.27768
-255.06      37.8183       0.0331214            2.27768
-254.36      37.8177       0.0500191            2.27768
-253.66      37.8288       0.0517787            2.27768
-252.96      37.8252       0.0408163            2.27768
-252.26      37.8107       0.038312            2.27768
-251.56      37.7987       0.0468609            2.27768
-250.86      37.8015       0.0559476            2.27768
-250.16      37.8052       0.0459079            2.27768
-249.46      37.7932       0.0333241            2.27768
-248.76      37.7752       0.0274009            2.27768
-248.06      37.756       0.0258693            2.27768
-247.36      37.7359       0.0270802            2.27768
-246.66      37.7145       0.0306385            2.27768
-245.96      37.6911       0.0370639            2.27768
-245.26      37.6649       0.0483096            2.27768
-244.56      37.6369       0.0688133            2.27768
-243.86      37.6161       0.105084            2.27768
-243.16      37.6254       0.142294            2.27768
-242.46      37.6345       0.140838            2.27768
-241.76      37.6045       0.14558            2.27768
-241.06      37.57       0.194018            2.27768
-240.36      37.588       0.281461            2.27768
-239.66      37.6935       0.31132            2.27768
-238.96      37.7469       0.232558            2.27768
-238.26      37.7145       0.169372            2.27768
-237.56      37.6562       0.149591            2.27768
-236.86      37.5917       0.164145            2.27768
-236.16      37.5299       0.22071            2.27768
-235.46      37.5132       0.329676            2.27768
-234.76      37.5942       0.403615            2.27768
-234.06      37.6276       0.384065            2.27768
-233.36      37.5905       0.436156            2.27768
-232.66      37.6526       0.601632            2.27768
-231.96      37.9253       0.637376            2.27768
-231.26      38.0746       0.43013            2.27768
-230.56      38.0449       0.263031            2.27768
-229.86      37.9773       0.183282            2.27768
-229.16      37.9244       0.155904            2.27768
-228.46      37.9053       0.139352            2.27768
-227.76      37.8866       0.102848            2.27768
-227.06      37.8519       0.0729064            2.27768
-226.36      37.8159       0.0553536            2.27768
-225.66      37.783       0.0448829            2.27768
-224.96      37.7533       0.0382151            2.27768
-224.26      37.7259       0.0337553            2.27768
-223.56      37.7003       0.0306913            2.27768
-222.86      37.6759       0.0285762            2.27768
-222.16      37.6524       0.0271474            2.27768
-221.46      37.6295       0.0262434            2.27768
-220.76      37.6068       0.025762            2.27768
-220.06      37.5843       0.0256389            2.27768
-219.36      37.5617       0.0258352            2.27768
-218.66      37.5388       0.0263317            2.27768
-217.96      37.5156       0.0271249            2.27768
-217.26      37.4917       0.0282263            2.27768
-216.56      37.4671       0.0296637            2.27768
-215.86      37.4415       0.031485            2.27768
-215.16      37.4147       0.0337658            2.27768
-214.46      37.3865       0.0366242            2.27768
-213.76      37.3565       0.0402491            2.27768
-213.06      37.3244       0.0449579            2.27768
-212.36      37.2895       0.0513243            2.27768
-211.66      37.2513       0.0604757            2.27768
-210.96      37.2098       0.0747586            2.27768
-210.26      37.1679       0.0982617            2.27768
-209.56      37.1371       0.128793            2.27768
-208.86      37.1136       0.146934            2.27768
-208.16      37.0822       0.157456            2.27768
-207.46      37.0342       0.160543            2.27768
-206.76      36.96       0.178623            2.27768
-206.06      36.8749       0.229342            2.27768
-205.36      36.8042       0.318006            2.27768
-204.66      36.7644       0.417698            2.27768
-203.96      36.7443       0.523846            2.27768
