#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 1.80067 fm^-1 (group = 5)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-261.96       6.45853e-18
-260.98       0.00025379
-260.864       1.11141e-19
-260.001       1.99925e-17
-258.233       4.69342e-17
-257.604       0.0019089
-256.704       6.96456e-17
-255.416       0.000204106
-254.049       0.000320184
-234.216       1.17986e-18
-232.802       0.000476287
-232.433       1.57102e-17
-231.326       1.10957e-17
-230.206       1.00274e-16
-229.771       0.00286537
-228.253       0.000364015
-228.203       3.75762e-16
-227.315       4.06981e-17
-226.968       4.67876e-18
-226.501       0.00068168
-226.176       3.89098e-17
-226.019       0.000992436
-225.712       0.00101264
-225.649       7.04731e-17
-225.611       4.36717e-16
-225.331       9.88792e-17
-225.259       0.000768073
-225.239       4.29344e-16
-225.091       3.68629e-17
-224.91       2.00577e-18
-224.646       1.04083e-17
-224.491       0.000373139
-224.307       1.76074e-16
-224.267       0.000873395
-223.88       7.54605e-17
-223.671       0.00184649
-223.596       1.50921e-16
-223.183       7.11237e-17
-222.781       1.043e-16
-222.14       8.30499e-17
-221.885       0.00120716
-221.551       4.7358e-16
-221.463       0.00350861
-220.655       0.00253351
-220.368       0.00293176
-220.233       0.000927486
-219.35       0.00257136
-218.788       0.000738911
-218.189       0.00195223
-217.987       0.00277776
-217.568       0.00161053
-216.774       0.000349268
-216.699       0.00196799
-216.424       0.000729124
-216.357       0.00147966
-216.162       0.000318599
-216.133       0.00142361
-215.947       0.000746656
-215.788       0.000722784
-215.491       0.00134365
-215.365       0.000587987
-215.006       0.000237218
-214.673       0.000101196
-214.477       0.000523272
-214.444       0.00104835
-213.593       0.000881077
-212.775       0.00191474
-212.517       0.000421436
-212.205       0.00298691
-212.122       0.00152065
-211.529       0.00203076
-211.399       0.00115544
-210.647       0.000981558
-210.483       0.000899667
-210.365       0.000576081
-209.98       0.0018348
-209.524       0.00251601
-209.162       0.00394697
-209.147       0.00500125
-208.615       0.00105749
-208.288       0.00357325
-207.204       0.000938466
-206.567       0.00250431
-204.996       0.000361547
-203.92       6.74182e-05
-203.739       3.55076e-17
-202.798       0.00129545
-202.407       0.000726352
-201.574       1.92851e-05
-200.957       1.16226e-16
-198.74       1.42464e-16
-198.396       1.66533e-16
-197.968       0.00299384
-197.346       1.21864e-16
-195.75       5.83301e-17
-195.358       3.03577e-17
-194.921       0.000875899
-192.961       0.000196268
-188.921       6.68282e-13
-188.91       0.00246119
-188.201       0.000670895
-187.952       0.00219046
-187.482       0.00270206
-187.257       0.000458017
-186.569       0.00197276
-184.784       0.00135243
-184.463       0.00572644
-184.236       0.00781884
-183.151       0.00259269
-182.777       0.000444436
-182.498       0.00192238
-182.13       0.00374444
-181.445       0.00447787
-181.355       0.00296069
-180.992       0.00585
-180.657       0.00882085
-180.279       0.00138332
-179.818       0.00435534
-179.241       0.00100252
-178.443       0.00528704
-178.12       0.00982252
-177.478       0.00148668
-176.918       0.00293663
-176.674       0.00293449
-176.354       0.00385613
-175.75       0.00348299
-175.235       0.00118301
-174.496       0.00281864
-174.057       0.00381261
-173.823       0.00121859
-173.29       0.00163232
-172.655       0.000725498
-172.232       0.00167684
-171.645       0.00208606
-171.102       0.00310432
-170.449       0.00388557
-168.695       1.89137e-08
-167.785       0.0029522
-167.184       0.00620124
-165.545       3.69726e-05
-164.462       0.00118812
-163.914       0.00345132
-163.452       0.0016283
-163.205       0.00163821
-162.821       0.00315351
-162.512       0.003293
-161.886       0.00312223
-161.448       0.00336254
-160.684       0.00455087
-160.263       0.00427199
-159.491       0.00198907
-158.973       0.00276902
-158.54       0.00439019
-158.068       0.0046021
-157.486       0.00517791
-157.072       0.00609902
-156.474       0.00620656
-156.135       0.0059807
-155.706       0.00211406
-155.019       0.00362223
-154.764       0.00220736
-153.85       0.00493586
-153.281       0.00869749
-153.061       0.00622842
-152.796       0.00280378
-152.146       0.00111628
-151.968       0.00371069
-151.63       0.00394528
-150.976       0.00233078
-150.206       0.00530042
-149.977       0.00382527
-149.94       0.000163666
-149.59       0.00499482
-148.842       0.00117647
-148.754       0.00456779
-148.366       0.00247956
-148.174       0.000718766
-147.29       0.000557665
-146.096       0.00117387
-144.521       0.0072802
-143.542       0.00197148
-140.654       0.0134417
-138.149       0.0053408
-132.06       3.49343e-16
-131.076       2.00252e-16
-130.293       0.00939642
-129.913       2.08709e-17
-129.469       0.00293283
-128.836       0.00332444
-127.808       0.00243148
-125.457       0.0119586
-124.612       0.00406575
-124.384       0.00579326
-124.059       0.00705792
-123.894       0.00469009
-123.374       0.00904011
-122.601       0.0099247
-122.163       0.0033868
-122.002       0.0192222
-121.099       0.0135358
-120.892       0.00365383
-120.748       0.00602725
-120.545       0.00374608
-120.288       0.00366995
-120.01       0.006772
-119.64       0.00859489
-119.406       0.00752894
-119.045       0.00454732
-118.861       0.0084718
-118.514       0.00295665
-118.333       0.00865021
-118.039       0.00512075
-117.419       0.00364416
-117.153       0.00504211
-116.846       0.0116391
-116.622       0.00595945
-116.408       0.0009131
-116.13       0.00246468
-115.706       0.0107681
-115.488       0.000267266
-115.121       0.00260965
-114.898       0.00420807
-114.858       0.00731902
-114.585       0.00547375
-114.309       0.00459141
-114.026       0.00166503
-113.8       0.000906141
-113.674       0.00353846
-113.292       0.00435345
-113.177       0.00108772
-112.582       3.72159e-11
-112.35       0.00643057
-111.952       0.00558553
-111.657       0.00167777
-111.017       0.00447156
-110.2       0.00200347
-109.994       0.00664987
-109.688       0.00743098
-109.426       3.56703e-16
-109.145       0.00802806
-108.193       0.00756582
-106.067       2.01671e-16
-104.8       0.00319781
-103.806       0.0287351
-100.908       0.0190252
-99.532       8.24209e-16
-99.3611       0.026317
-88.7111       6.70313e-17
-87.2059       0.00152507
-86.9253       1.19073e-16
-85.5592       4.2884e-17
-85.2403       1.52082e-16
-85.019       4.33003e-17
-84.9334       1.0079e-15
-84.4927       0.00398042
-84.4135       7.33449e-16
-84.3597       6.42451e-16
-84.3073       1.99493e-16
-84.1891       0.00218155
-84.1835       2.40693e-16
-84.1668       3.38163e-16
-84.0169       2.30935e-17
-83.9033       6.03846e-16
-83.8511       5.65954e-17
-83.7206       0.00695934
-83.7132       2.64017e-16
-83.7047       4.79651e-16
-83.5992       2.78504e-16
-83.5386       3.61744e-16
-83.4243       9.54098e-18
-83.4138       7.23163e-17
-83.3616       3.12809e-18
-83.0355       6.38082e-17
-82.915       9.78892e-17
-82.7082       1.02169e-16
-82.6023       6.28323e-17
-82.5984       3.12262e-16
-81.8349       0.0129016
-81.6558       6.8522e-16
