#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 2.54653 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-301.432       2.82053e-06       2.54653
-300.732       2.83145e-06       2.54653
-300.032       2.84244e-06       2.54653
-299.332       2.8535e-06       2.54653
-298.632       2.86463e-06       2.54653
-297.932       2.87584e-06       2.54653
-297.232       2.88712e-06       2.54653
-296.532       2.89848e-06       2.54653
-295.832       2.90992e-06       2.54653
-295.132       2.92145e-06       2.54653
-294.432       2.93306e-06       2.54653
-293.732       2.94476e-06       2.54653
-293.032       2.95656e-06       2.54653
-292.332       2.96846e-06       2.54653
-291.632       2.98048e-06       2.54653
-290.932       2.99261e-06       2.54653
-290.232       3.00488e-06       2.54653
-289.532       3.01731e-06       2.54653
-288.832       3.02992e-06       2.54653
-288.132       3.04276e-06       2.54653
-287.432       3.05588e-06       2.54653
-286.732       3.06937e-06       2.54653
-286.032       3.08341e-06       2.54653
-285.332       3.09826e-06       2.54653
-284.632       3.11448e-06       2.54653
-283.932       3.1332e-06       2.54653
-283.232       3.15663e-06       2.54653
-282.532       3.18594e-06       2.54653
-281.832       3.20985e-06       2.54653
-281.132       3.22888e-06       2.54653
-280.432       3.26602e-06       2.54653
-279.732       3.33656e-06       2.54653
-279.032       3.42139e-06       2.54653
-278.332       3.40769e-06       2.54653
-277.632       3.34252e-06       2.54653
-276.932       3.30784e-06       2.54653
-276.232       3.29677e-06       2.54653
-275.532       3.29714e-06       2.54653
-274.832       3.30314e-06       2.54653
-274.132       3.31212e-06       2.54653
-273.432       3.32283e-06       2.54653
-272.732       3.33462e-06       2.54653
-272.032       3.34714e-06       2.54653
-271.332       3.36018e-06       2.54653
-270.632       3.3736e-06       2.54653
-269.932       3.38734e-06       2.54653
-269.232       3.40133e-06       2.54653
-268.532       3.41555e-06       2.54653
-267.832       3.42996e-06       2.54653
-267.132       3.44455e-06       2.54653
-266.432       3.45931e-06       2.54653
-265.732       3.47424e-06       2.54653
-265.032       3.48932e-06       2.54653
-264.332       3.50456e-06       2.54653
-263.632       3.51996e-06       2.54653
-262.932       3.53551e-06       2.54653
-262.232       3.55121e-06       2.54653
-261.532       3.56708e-06       2.54653
-260.832       3.58311e-06       2.54653
-260.132       3.59932e-06       2.54653
-259.432       3.61569e-06       2.54653
-258.732       3.63226e-06       2.54653
-258.032       3.64901e-06       2.54653
-257.332       3.66597e-06       2.54653
-256.632       3.68315e-06       2.54653
-255.932       3.70056e-06       2.54653
-255.232       3.71823e-06       2.54653
-254.532       3.73617e-06       2.54653
-253.832       3.75443e-06       2.54653
-253.132       3.77303e-06       2.54653
-252.432       3.79203e-06       2.54653
-251.732       3.81151e-06       2.54653
-251.032       3.83154e-06       2.54653
-250.332       3.85227e-06       2.54653
-249.632       3.8739e-06       2.54653
-248.932       3.89674e-06       2.54653
-248.232       3.92133e-06       2.54653
-247.532       3.9485e-06       2.54653
-246.832       3.97905e-06       2.54653
-246.132       4.01533e-06       2.54653
-245.432       4.06416e-06       2.54653
-244.732       4.13637e-06       2.54653
-244.032       4.22631e-06       2.54653
-243.332       4.27471e-06       2.54653
-242.632       4.31177e-06       2.54653
-241.932       4.39931e-06       2.54653
-241.232       4.53568e-06       2.54653
-240.532       4.54053e-06       2.54653
-239.832       4.45348e-06       2.54653
-239.132       4.43087e-06       2.54653
-238.432       4.47413e-06       2.54653
-237.732       4.55956e-06       2.54653
-237.032       4.66125e-06       2.54653
-236.332       4.76004e-06       2.54653
-235.632       4.91595e-06       2.54653
-234.932       5.14971e-06       2.54653
-234.232       5.37775e-06       2.54653
-233.532       5.77386e-06       2.54653
-232.832       6.34385e-06       2.54653
-232.132       6.82837e-06       2.54653
-231.432       6.69732e-06       2.54653
-230.732       6.20755e-06       2.54653
-230.032       6.132e-06       2.54653
-229.332       6.52216e-06       2.54653
-228.632       7.0631e-06       2.54653
-227.932       7.90813e-06       2.54653
-227.232       8.14993e-06       2.54653
-226.532       6.9478e-06       2.54653
-225.832       5.94308e-06       2.54653
-225.132       5.42104e-06       2.54653
-224.432       5.15478e-06       2.54653
-223.732       5.01213e-06       2.54653
-223.032       4.93322e-06       2.54653
-222.332       4.88997e-06       2.54653
-221.632       4.8682e-06       2.54653
-220.932       4.86024e-06       2.54653
-220.232       4.86167e-06       2.54653
-219.532       4.86985e-06       2.54653
-218.832       4.88313e-06       2.54653
-218.132       4.90047e-06       2.54653
-217.432       4.92123e-06       2.54653
-216.732       4.94504e-06       2.54653
-216.032       4.97177e-06       2.54653
-215.332       5.00146e-06       2.54653
-214.632       5.03439e-06       2.54653
-213.932       5.07112e-06       2.54653
-213.232       5.11272e-06       2.54653
-212.532       5.16119e-06       2.54653
-211.832       5.2204e-06       2.54653
-211.132       5.29704e-06       2.54653
-210.432       5.39165e-06       2.54653
-209.732       5.47921e-06       2.54653
-209.032       5.57365e-06       2.54653
-208.332       5.7198e-06       2.54653
-207.632       5.97022e-06       2.54653
-206.932       6.31098e-06       2.54653
-206.232       6.62662e-06       2.54653
-205.532       7.09617e-06       2.54653
-204.832       7.89271e-06       2.54653
-204.132       8.40717e-06       2.54653
-203.432       8.09007e-06       2.54653
-202.732       7.89217e-06       2.54653
-202.032       7.97066e-06       2.54653
-201.332       8.117e-06       2.54653
-200.632       8.01322e-06       2.54653
-199.932       8.07807e-06       2.54653
-199.232       8.81866e-06       2.54653
-198.532       1.04284e-05       2.54653
-197.832       1.21379e-05       2.54653
-197.132       1.1879e-05       2.54653
-196.432       1.11124e-05       2.54653
-195.732       1.14899e-05       2.54653
-195.032       1.28891e-05       2.54653
