#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 0 fm^-1 (group = 0)     and E_F = -42.8326 MeV
#
#   Sigma^{infty} = -106.672 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-253.243      -115.283       0.0642075            0
-252.543      -115.326       0.064967            0
-251.843      -115.369       0.0657404            0
-251.143      -115.413       0.066528            0
-250.443      -115.457       0.0673303            0
-249.743      -115.502       0.0681477            0
-249.043      -115.547       0.0689804            0
-248.343      -115.593       0.069829            0
-247.643      -115.639       0.0706938            0
-246.943      -115.686       0.0715753            0
-246.243      -115.733       0.0724739            0
-245.543      -115.781       0.0733901            0
-244.843      -115.83       0.0743245            0
-244.143      -115.879       0.0752774            0
-243.443      -115.928       0.0762494            0
-242.743      -115.979       0.0772411            0
-242.043      -116.03       0.078253            0
-241.343      -116.081       0.0792857            0
-240.643      -116.133       0.0803397            0
-239.943      -116.186       0.0814159            0
-239.243      -116.239       0.0825146            0
-238.543      -116.294       0.0836368            0
-237.843      -116.348       0.084783            0
-237.143      -116.404       0.085954            0
-236.443      -116.46       0.0871505            0
-235.743      -116.517       0.0883734            0
-235.043      -116.575       0.0896234            0
-234.343      -116.633       0.0909015            0
-233.643      -116.692       0.0922085            0
-232.943      -116.753       0.0935454            0
-232.243      -116.813       0.0949131            0
-231.543      -116.875       0.0963126            0
-230.843      -116.938       0.0977451            0
-230.143      -117.001       0.0992116            0
-229.443      -117.065       0.100713            0
-228.743      -117.131       0.102251            0
-228.043      -117.197       0.103827            0
-227.343      -117.264       0.105442            0
-226.643      -117.332       0.107097            0
-225.943      -117.401       0.108794            0
-225.243      -117.471       0.110534            0
-224.543      -117.543       0.11232            0
-223.843      -117.615       0.114152            0
-223.143      -117.688       0.116032            0
-222.443      -117.763       0.117963            0
-221.743      -117.839       0.119946            0
-221.043      -117.916       0.121983            0
-220.343      -117.994       0.124077            0
-219.643      -118.073       0.12623            0
-218.943      -118.154       0.128444            0
-218.243      -118.236       0.130722            0
-217.543      -118.32       0.133066            0
-216.843      -118.405       0.135479            0
-216.143      -118.491       0.137965            0
-215.443      -118.579       0.140526            0
-214.743      -118.668       0.143166            0
-214.043      -118.759       0.145889            0
-213.343      -118.852       0.148697            0
-212.643      -118.946       0.151597            0
-211.943      -119.043       0.154591            0
-211.243      -119.14       0.157684            0
-210.543      -119.24       0.160882            0
-209.843      -119.342       0.164189            0
-209.143      -119.446       0.167611            0
-208.443      -119.552       0.171154            0
-207.743      -119.659       0.174824            0
-207.043      -119.77       0.17863            0
-206.343      -119.882       0.182577            0
-205.643      -119.997       0.186673            0
-204.943      -120.114       0.190929            0
-204.243      -120.234       0.195352            0
-203.543      -120.357       0.199953            0
-202.843      -120.482       0.204742            0
-202.143      -120.61       0.209733            0
-201.443      -120.741       0.214936            0
-200.743      -120.876       0.220367            0
-200.043      -121.013       0.22604            0
-199.343      -121.154       0.231972            0
-198.643      -121.299       0.238182            0
-197.943      -121.447       0.244689            0
-197.243      -121.599       0.251516            0
-196.543      -121.756       0.258686            0
-195.843      -121.916       0.266227            0
-195.143      -122.082       0.274169            0
-194.443      -122.252       0.282544            0
-193.743      -122.427       0.291389            0
-193.043      -122.607       0.300746            0
-192.343      -122.793       0.31066            0
-191.643      -122.985       0.321185            0
-190.943      -123.183       0.332379            0
-190.823      -123.218       0.33437            0
-190.703      -123.253       0.336383            0
-190.583      -123.288       0.338418            0
-190.463      -123.323       0.340476            0
-190.343      -123.359       0.342557            0
-190.223      -123.394       0.344661            0
-190.103      -123.43       0.34679            0
-189.983      -123.467       0.348942            0
-189.863      -123.503       0.35112            0
-189.743      -123.539       0.353322            0
-189.623      -123.576       0.355551            0
-189.503      -123.613       0.357805            0
-189.383      -123.65       0.360086            0
-189.263      -123.688       0.362394            0
-189.143      -123.726       0.364729            0
-189.023      -123.763       0.367093            0
-188.903      -123.802       0.369485            0
-188.783      -123.84       0.371906            0
-188.663      -123.879       0.374356            0
-188.543      -123.918       0.376837            0
-188.423      -123.957       0.379349            0
-188.303      -123.996       0.381891            0
-188.183      -124.036       0.384466            0
-188.063      -124.076       0.387073            0
-187.943      -124.116       0.389714            0
-187.823      -124.156       0.392388            0
-187.703      -124.197       0.395096            0
-187.583      -124.238       0.39784            0
-187.463      -124.279       0.40062            0
-187.343      -124.321       0.403436            0
-187.223      -124.362       0.406289            0
-187.103      -124.405       0.40918            0
-186.983      -124.447       0.412111            0
-186.863      -124.49       0.41508            0
-186.743      -124.533       0.41809            0
-186.623      -124.576       0.421142            0
-186.503      -124.619       0.424235            0
-186.383      -124.663       0.427372            0
-186.263      -124.707       0.430552            0
-186.143      -124.752       0.433777            0
-186.023      -124.797       0.437048            0
-185.903      -124.842       0.440366            0
-185.783      -124.888       0.443732            0
-185.663      -124.933       0.447146            0
-185.543      -124.98       0.450611            0
-185.423      -125.026       0.454126            0
-185.303      -125.073       0.457694            0
-185.183      -125.12       0.461315            0
-185.063      -125.168       0.464991            0
-184.943      -125.216       0.468722            0
-184.823      -125.264       0.472511            0
-184.703      -125.313       0.476358            0
-184.583      -125.362       0.480266            0
-184.463      -125.411       0.484234            0
-184.343      -125.461       0.488265            0
-184.223      -125.512       0.492361            0
-184.103      -125.562       0.496522            0
-183.983      -125.613       0.500751            0
-183.863      -125.665       0.505048            0
-183.743      -125.717       0.509417            0
-183.623      -125.769       0.513858            0
-183.503      -125.822       0.518373            0
-183.383      -125.876       0.522965            0
-183.263      -125.929       0.527635            0
-183.143      -125.984       0.532385            0
-183.023      -126.038       0.537218            0
-182.903      -126.093       0.542135            0
-182.783      -126.149       0.547139            0
-182.663      -126.205       0.552232            0
-182.543      -126.262       0.557416            0
-182.423      -126.319       0.562694            0
-182.303      -126.377       0.568069            0
-182.183      -126.435       0.573543            0
-182.063      -126.494       0.579119            0
-181.943      -126.553       0.5848            0
-181.823      -126.613       0.590588            0
-181.703      -126.674       0.596488            0
-181.583      -126.735       0.602501            0
-181.463      -126.796       0.608632            0
-181.343      -126.859       0.614884            0
-181.223      -126.922       0.62126            0
-181.103      -126.985       0.627764            0
-180.983      -127.049       0.6344            0
-180.863      -127.114       0.641173            0
-180.743      -127.18       0.648085            0
-180.623      -127.246       0.655142            0
-180.503      -127.313       0.662349            0
-180.383      -127.38       0.669709            0
-180.263      -127.449       0.677228            0
-180.143      -127.518       0.68491            0
-180.023      -127.588       0.692762            0
-179.903      -127.658       0.700789            0
-179.783      -127.73       0.708997            0
-179.663      -127.802       0.717391            0
-179.543      -127.875       0.725978            0
-179.423      -127.949       0.734765            0
-179.303      -128.024       0.743758            0
-179.183      -128.099       0.752965            0
-179.063      -128.176       0.762394            0
-178.943      -128.253       0.772052            0
-178.823      -128.332       0.781947            0
-178.703      -128.411       0.792088            0
-178.583      -128.492       0.802485            0
-178.463      -128.573       0.813147            0
-178.343      -128.655       0.824084            0
-178.223      -128.739       0.835305            0
-178.103      -128.824       0.846823            0
-177.983      -128.909       0.85865            0
-177.863      -128.996       0.870796            0
-177.743      -129.084       0.883274            0
-177.623      -129.174       0.896099            0
-177.503      -129.264       0.909285            0
-177.383      -129.356       0.922846            0
-177.263      -129.45       0.936797            0
-177.143      -129.544       0.951157            0
-177.023      -129.64       0.965941            0
-176.903      -129.737       0.981168            0
-176.783      -129.836       0.996859            0
-176.663      -129.937       1.01303            0
-176.543      -130.039       1.02971            0
-176.423      -130.142       1.04692            0
-176.303      -130.248       1.06468            0
-176.183      -130.354       1.08302            0
-176.063      -130.463       1.10196            0
-175.943      -130.574       1.12154            0
-175.823      -130.686       1.14179            0
-175.703      -130.801       1.16274            0
-175.583      -130.917       1.18441            0
-175.463      -131.035       1.20686            0
-175.343      -131.156       1.23013            0
-175.223      -131.279       1.25424            0
-175.103      -131.404       1.27925            0
-174.983      -131.531       1.30521            0
-174.863      -131.661       1.33217            0
-174.743      -131.794       1.36018            0
-174.623      -131.929       1.38931            0
-174.503      -132.067       1.41961            0
-174.383      -132.208       1.45115            0
-174.263      -132.352       1.48401            0
-174.143      -132.498       1.51827            0
-174.023      -132.648       1.55401            0
-173.903      -132.802       1.59132            0
-173.783      -132.958       1.6303            0
-173.663      -133.119       1.67106            0
-173.543      -133.283       1.71371            0
-173.423      -133.451       1.75838            0
-173.303      -133.623       1.80519            0
-173.183      -133.799       1.85431            0
-173.063      -133.98       1.90589            0
-172.943      -134.165       1.9601            0
-172.823      -134.356       2.01713            0
-172.703      -134.551       2.07719            0
-172.583      -134.752       2.1405            0
-172.463      -134.958       2.20732            0
-172.343      -135.17       2.27791            0
-172.223      -135.388       2.35257            0
-172.103      -135.613       2.43163            0
-171.983      -135.844       2.51546            0
-171.863      -136.083       2.60444            0
-171.743      -136.328       2.69903            0
-171.623      -136.582       2.79972            0
-171.503      -136.844       2.90703            0
-171.383      -137.115       3.02159            0
-171.263      -137.395       3.14407            0
-171.143      -137.684       3.27522            0
-171.023      -137.984       3.41587            0
-170.903      -138.294       3.56699            0
-170.783      -138.616       3.72962            0
-170.663      -138.949       3.90498            0
-170.543      -139.295       4.0944            0
-170.423      -139.654       4.29943            0
-170.303      -140.027       4.52179            0
-170.183      -140.415       4.76347            0
-170.063      -140.817       5.0267            0
-169.943      -141.235       5.31407            0
-169.823      -141.67       5.62851            0
-169.703      -142.122       5.97339            0
-169.583      -142.59       6.35257            0
-169.463      -143.076       6.77052            0
-169.343      -143.58       7.23236            0
-169.223      -144.1       7.74398            0
-169.103      -144.637       8.31219            0
-168.983      -145.187       8.94481            0
-168.863      -145.75       9.6508            0
-168.743      -146.319       10.4404            0
-168.623      -146.89       11.3253            0
-168.503      -147.454       12.3183            0
-168.383      -147.999       13.434            0
-168.263      -148.509       14.6877            0
-168.143      -148.963       16.0952            0
-168.023      -149.331       17.6717            0
-167.903      -149.577       19.4298            0
-167.783      -149.653       21.3769            0
-167.663      -149.501       23.5101            0
-167.543      -149.05       25.811            0
-167.423      -148.225       28.2382            0
-167.303      -146.951       30.7193            0
-167.183      -145.163       33.146            0
-167.063      -142.831       35.3743            0
-166.943      -139.975       37.2355            0
-166.823      -136.684       38.56            0
-166.703      -133.114       39.2114            0
-166.583      -129.473       39.119            0
-166.463      -125.982       38.2976            0
-166.343      -122.834       36.8431            0
-166.223      -120.165       34.9071            0
-166.103      -118.039       32.6626            0
-165.983      -116.458       30.2723            0
-165.863      -115.377       27.8692            0
-165.743      -114.728       25.5496            0
-165.623      -114.433       23.375            0
-165.503      -114.418       21.3787            0
-165.383      -114.618       19.5735            0
-165.263      -114.978       17.9584            0
-165.143      -115.453       16.5246            0
-165.023      -116.01       15.2586            0
-164.903      -116.622       14.1454            0
-164.783      -117.271       13.1696            0
-164.663      -117.942       12.3169            0
-164.543      -118.625       11.5739            0
-164.423      -119.312       10.9287            0
-164.303      -119.999       10.3711            0
-164.183      -120.682       9.89217            0
-164.063      -121.358       9.48439            0
-163.943      -122.028       9.14147            0
-163.823      -122.691       8.85829            0
-163.703      -123.345       8.63075            0
-163.583      -123.992       8.45574            0
-163.463      -124.632       8.33103            0
-163.343      -125.266       8.25526            0
-163.223      -125.893       8.22788            0
-163.103      -126.514       8.24917            0
-162.983      -127.129       8.32021            0
-162.863      -127.738       8.44293            0
-162.743      -128.339       8.62008            0
-162.623      -128.931       8.85531            0
-162.503      -129.512       9.1531            0
-162.383      -130.075       9.51881            0
-162.263      -130.617       9.95851            0
-162.143      -131.128       10.4788            0
-162.023      -131.596       11.0864            0
-161.903      -132.006       11.7873            0
-161.783      -132.339       12.5858            0
-161.663      -132.568       13.4827            0
-161.543      -132.664       14.4727            0
-161.423      -132.59       15.541            0
-161.303      -132.311       16.6601            0
-161.183      -131.792       17.786            0
-161.063      -131.008       18.8567            0
-160.943      -129.958       19.7951            0
-160.823      -128.667       20.5173            0
-160.703      -127.195       20.9468            0
-160.583      -125.632       21.0315            0
-160.463      -124.085       20.7575            0
-160.343      -122.657       20.1524            0
-160.223      -121.429       19.2779            0
-160.103      -120.449       18.2147            0
-159.983      -119.733       17.0453            0
-159.863      -119.269       15.8418            0
-159.743      -119.028       14.6594            0
