#
#
#   poles of the irreducible self-energy (both particle and hole)
#
#   k = 0 fm^-1      and E_F = -42.8326 MeV
#
#
#    E              |M_kE|^2

-167.726       -7.85707e-14
-167.043       1.14155e-16
-167.043       1.29899e-13
-167.043       1.48321e-16
-166.663       6.74249
-166.574       -3.86203e-16
-166.574       3.56903e-14
-166.574       -4.85757e-17
-166.45       -1.73357e-14
-166.45       1.78489e-16
-166.449       1.45538e-15
-166.449       2.34366e-16
-166.449       2.85414e-13
-166.373       2.04506e-16
-166.373       6.48416e-14
-166.373       8.01311e-16
-166.237       1.57436e-16
-166.237       -5.44928e-16
-166.237       -1.20241e-13
-166.174       -1.1183e-13
-166.174       -6.18605e-17
-166.126       1.46422e-16
-166.126       -1.85207e-16
-166.126       6.61885e-14
-164.881       6.71285e-15
-164.702       -4.63816e-14
-164.702       1.09306e-15
-164.702       9.39364e-16
-164.549       3.17959e-16
-164.549       2.69946e-16
-164.549       2.87054e-14
-164.482       5.4229e-16
-164.482       8.16402e-15
-164.459       1.39582e-15
-164.459       -1.10311e-16
-164.459       -3.31096e-14
-161.43       1.59745e-14
-161.43       4.13469e-16
-161.43       5.58011e-16
-161.41       -6.24075e-15
-161.41       -1.46343e-15
-161.188       3.76823e-14
-161.188       1.10829e-15
-161.187       8.72401e-17
-160.897       2.05095e-14
-160.897       -1.13713e-16
-160.897       -1.12246e-15
-160.604       4.69077
-153.335       -8.76681e-14
-151.986       2.86748e-16
-151.986       5.17182e-16
-151.986       2.47172e-14
-151.376       -5.91484
-151.337       -4.61177e-15
-151.337       -8.28027e-16
-151.262       2.78217e-14
-151.262       3.85455e-16
-151.24       -1.37523e-14
-151.24       7.17237e-16
-150.996       9.28292e-16
-149.993       -3.48906e-16
-149.992       2.05928e-15
-149.685       1.02937e-15
-149.685       1.31538e-16
-149.596       -1.12455e-16
-149.596       -7.55036e-16
-148.814       3.44638e-15
-148.813       8.56712e-19
-147.772       1.00403e-15
-147.551       -6.09322e-16
-147.454       -6.00518
-147.265       2.41881e-16
-147.255       3.30957e-16
-147.141       -2.45394e-15
-146.773       1.95435e-14
-146.766       3.1159e-15
-146.472       -7.86183e-15
