#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 1.61057 fm^-1 (group = 2)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = -24.1367 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-269.471      -27.0642       0.00991266            1.61057
-268.771      -27.0771       0.0102381            1.61057
-268.071      -27.0903       0.0105835            1.61057
-267.371      -27.1037       0.0109508            1.61057
-266.671      -27.1174       0.0113425            1.61057
-265.971      -27.1313       0.0117614            1.61057
-265.271      -27.1455       0.0122109            1.61057
-264.571      -27.1601       0.0126949            1.61057
-263.871      -27.1749       0.0132181            1.61057
-263.171      -27.1901       0.0137858            1.61057
-262.471      -27.2057       0.014405            1.61057
-261.771      -27.2217       0.0150837            1.61057
-261.071      -27.2381       0.0158319            1.61057
-260.371      -27.255       0.0166621            1.61057
-259.671      -27.2725       0.0175901            1.61057
-258.971      -27.2905       0.018636            1.61057
-258.271      -27.3093       0.0198258            1.61057
-257.571      -27.3288       0.0211942            1.61057
-256.871      -27.3491       0.0227877            1.61057
-256.171      -27.3704       0.024671            1.61057
-255.471      -27.393       0.0269356            1.61057
-254.771      -27.4169       0.0297164            1.61057
-254.071      -27.4425       0.033219            1.61057
-253.371      -27.4703       0.0377727            1.61057
-252.671      -27.5007       0.0439355            1.61057
-251.971      -27.5345       0.0527193            1.61057
-251.271      -27.5726       0.0661105            1.61057
-250.571      -27.6156       0.088297            1.61057
-249.871      -27.6598       0.127862            1.61057
-249.171      -27.6835       0.191868            1.61057
-248.471      -27.6615       0.234732            1.61057
-247.771      -27.6736       0.22881            1.61057
-247.071      -27.7382       0.26311            1.61057
-246.371      -27.7922       0.386076            1.61057
-245.671      -27.7034       0.587973            1.61057
-244.971      -27.4223       0.599837            1.61057
-244.271      -27.3127       0.3952            1.61057
-243.571      -27.3574       0.251236            1.61057
-242.871      -27.431       0.177112            1.61057
-242.171      -27.504       0.141887            1.61057
-241.471      -27.5694       0.127225            1.61057
-240.771      -27.6295       0.123022            1.61057
-240.071      -27.6867       0.126381            1.61057
