#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 2.41585 fm^-1 (group = 3)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = 54.2637 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-287.96      52.8679       -0.000274405            2.41585
-287.26      52.8633       -0.000187101            2.41585
-286.56      52.8586       -9.38208e-05            2.41585
-285.86      52.8538       6.0463e-06            2.41585
-285.16      52.8489       0.000113205            2.41585
-284.46      52.844       0.000228472            2.41585
-283.76      52.8389       0.000352801            2.41585
-283.06      52.8338       0.000487312            2.41585
-282.36      52.8285       0.000633336            2.41585
-281.66      52.8232       0.000792468            2.41585
-280.96      52.8177       0.00096664            2.41585
-280.26      52.8121       0.00115822            2.41585
-279.56      52.8064       0.00137016            2.41585
-278.86      52.8005       0.00160619            2.41585
-278.16      52.7944       0.00187109            2.41585
-277.46      52.7882       0.00217116            2.41585
-276.76      52.7818       0.00251486            2.41585
-276.06      52.7751       0.0029139            2.41585
-275.36      52.7682       0.003385            2.41585
-274.66      52.761       0.00395298            2.41585
-273.96      52.7534       0.00465637            2.41585
-273.26      52.7453       0.00555836            2.41585
-272.56      52.7368       0.00676947            2.41585
-271.86      52.7276       0.00849814            2.41585
-271.16      52.7175       0.0111707            2.41585
-270.46      52.7068       0.0157066            2.41585
-269.76      52.6967       0.0237865            2.41585
-269.06      52.6927       0.0345106            2.41585
-268.36      52.6936       0.0366126            2.41585
-267.66      52.6849       0.0349178            2.41585
-266.96      52.6719       0.0422595            2.41585
-266.26      52.6683       0.0598883            2.41585
-265.56      52.6847       0.0659414            2.41585
-264.86      52.6892       0.0482462            2.41585
-264.16      52.6758       0.0343677            2.41585
-263.46      52.6577       0.0285103            2.41585
-262.76      52.6387       0.0273685            2.41585
-262.06      52.6192       0.0292512            2.41585
-261.36      52.599       0.0330493            2.41585
-260.66      52.5761       0.0386191            2.41585
-259.96      52.5493       0.0482168            2.41585
-259.26      52.5186       0.0650189            2.41585
-258.56      52.4865       0.0946058            2.41585
-257.86      52.4657       0.138144            2.41585
-257.16      52.4536       0.173426            2.41585
-256.46      52.4176       0.225076            2.41585
-255.76      52.4036       0.347894            2.41585
-255.06      52.5357       0.487078            2.41585
-254.36      52.7204       0.421676            2.41585
-253.66      52.731       0.295465            2.41585
-252.96      52.6642       0.256609            2.41585
-252.26      52.6013       0.309923            2.41585
-251.56      52.6327       0.448051            2.41585
-250.86      52.8432       0.491622            2.41585
-250.16      52.9682       0.328862            2.41585
-249.46      52.9482       0.192459            2.41585
-248.76      52.8974       0.120263            2.41585
-248.06      52.8504       0.0819323            2.41585
-247.36      52.811       0.0599399            2.41585
-246.66      52.778       0.0463571            2.41585
-245.96      52.7497       0.037465            2.41585
-245.26      52.7248       0.0313843            2.41585
-244.56      52.7024       0.0270944            2.41585
-243.86      52.6818       0.0240057            2.41585
-243.16      52.6625       0.0217599            2.41585
-242.46      52.6443       0.0201303            2.41585
-241.76      52.6267       0.0189687            2.41585
-241.06      52.6096       0.0181761            2.41585
-240.36      52.5929       0.0176859            2.41585
-239.66      52.5763       0.0174536            2.41585
-238.96      52.5597       0.0174506            2.41585
-238.26      52.543       0.0176605            2.41585
-237.56      52.5261       0.0180772            2.41585
-236.86      52.5089       0.018704            2.41585
-236.16      52.4912       0.0195533            2.41585
-235.46      52.4729       0.0206484            2.41585
-234.76      52.4539       0.0220257            2.41585
-234.06      52.434       0.023739            2.41585
-233.36      52.413       0.0258671            2.41585
-232.66      52.3907       0.0285258            2.41585
-231.96      52.3667       0.0318892            2.41585
-231.26      52.3407       0.0362278            2.41585
-230.56      52.3121       0.0419806            2.41585
-229.86      52.2801       0.0498993            2.41585
-229.16      52.2437       0.0613592            2.41585
-228.46      52.2018       0.0790739            2.41585
-227.76      52.1535       0.108813            2.41585
-227.06      52.1025       0.162959            2.41585
-226.36      52.0769       0.258092            2.41585
-225.66      52.1377       0.345519            2.41585
-224.96      52.1948       0.331136            2.41585
-224.26      52.1878       0.334974            2.41585
-223.56      52.2254       0.349791            2.41585
-222.86      52.2338       0.292491            2.41585
-222.16      52.1657       0.263326            2.41585
-221.46      52.09       0.302897            2.41585
-220.76      52.0722       0.379147            2.41585
-220.06      52.0828       0.407273            2.41585
-219.36      52.0655       0.445345            2.41585
-218.66      52.0935       0.476517            2.41585
-217.96      52.0774       0.45513            2.41585
-217.26      52.0187       0.476568            2.41585
-216.56      51.9638       0.546738            2.41585
-215.86      51.9804       0.662579            2.41585
-215.16      52.0822       0.664133            2.41585
-214.46      52.0421       0.559836            2.41585
-213.76      51.8687       0.546952            2.41585
-213.06      51.6622       0.673298            2.41585
-212.36      51.5093       0.950947            2.41585
-211.66      51.5133       1.32409            2.41585
-210.96      51.6621       1.61083            2.41585
-210.26      51.6936       1.98012            2.41585
-209.56      52.1867       2.74703            2.41585
-208.86      53.5262       2.75691            2.41585
-208.16      54.1612       1.78172            2.41585
-207.46      54.0541       1.04789            2.41585
-206.76      53.8027       0.675379            2.41585
-206.06      53.5867       0.502361            2.41585
-205.36      53.454       0.419395            2.41585
-204.66      53.3711       0.325025            2.41585
-203.96      53.2688       0.237143            2.41585
-203.26      53.1664       0.182514            2.41585
-202.56      53.0782       0.150648            2.41585
-201.86      53.0062       0.128436            2.41585
-201.16      52.9419       0.107838            2.41585
-200.46      52.8808       0.0922065            2.41585
-199.76      52.8243       0.0813658            2.41585
-199.06      52.7719       0.0737169            2.41585
-198.36      52.7228       0.0682737            2.41585
-197.66      52.676       0.0644911            2.41585
-196.96      52.6309       0.0620608            2.41585
-196.26      52.5866       0.0608147            2.41585
-195.56      52.5427       0.0606826            2.41585
-194.86      52.4986       0.0616773            2.41585
-194.16      52.4535       0.0638976            2.41585
-193.46      52.4069       0.0675497            2.41585
-192.76      52.3578       0.0729957            2.41585
-192.06      52.3054       0.0808523            2.41585
-191.36      52.2482       0.0921968            2.41585
-190.66      52.1849       0.109021            2.41585
-189.96      52.1137       0.135281            2.41585
-189.26      52.0354       0.178959            2.41585
-188.56      51.9635       0.250093            2.41585
-187.86      51.9239       0.322094            2.41585
-187.16      51.855       0.359767            2.41585
-186.46      51.7161       0.449987            2.41585
-185.76      51.5549       0.673914            2.41585
-185.06      51.5079       1.12693            2.41585
-184.36      51.9771       1.65815            2.41585
-183.66      52.733       1.4565            2.41585
-182.96      52.882       0.921343            2.41585
-182.26      52.7283       0.621138            2.41585
-181.56      52.5392       0.504735            2.41585
-180.86      52.372       0.478706            2.41585
-180.16      52.2073       0.510539            2.41585
