#
#
#   poles of the irreducible self-energy (both particle and hole)
#
#   k = 2.41585 fm^-1      and E_F = -52.0162 MeV
#
#
#    E              |M_kE|^2

-268.96       -1.00167e-13
-268.802       -0.16947
-267.769       -2.81305e-15
-265.768       0.256518
-263.415       4.23024e-15
-261.539       3.97858e-16
-261.523       -0.0474746
-261.069       1.12899e-16
-261.069       -8.82537e-16
-260.655       -3.63108e-17
-260.655       1.13396e-15
-260.598       7.40778e-17
-260.598       -1.99286e-15
-260.212       -6.60069e-17
-260.212       1.06634e-15
-260.201       -2.38095e-16
-259.96       1.34195e-15
-259.855       -9.77215e-16
-259.734       4.6446e-15
-259.604       -2.58881e-16
-258.483       1.01491e-14
-257.663       1.26255e-13
-257.663       7.62288e-17
-257.581       -0.271683
-257.183       -6.97821e-16
-257.128       -7.33097e-17
-257.128       8.84656e-15
-257.037       -2.92136e-15
-256.639       3.59457e-16
-256.551       -1.18701e-16
-256.551       -5.06037e-15
-256.462       1.73835e-15
-255.959       -1.29355e-15
-255.29       1.07904e-15
-255.29       -3.1766e-15
-254.935       -0.726695
-254.018       1.5103e-14
-254.018       1.4222e-16
-253.478       -6.11428e-15
-251.054       0.745791
-227.238       4.11235e-15
-225.67       0.540497
-224.442       -1.40899e-15
-224.442       -1.08518e-16
-224.408       -6.57788e-15
-223.818       5.17661e-14
-223.655       -0.498862
-223.453       -5.0158e-15
-223.428       -7.13093e-17
-223.355       1.29355e-15
-223.214       8.8542e-15
-222.852       -4.34828e-15
-222.803       -3.04567e-16
-222.715       -1.13226e-14
-222.509       2.22135e-15
-222.405       1.35688e-15
-220.673       0.448692
-220.168       -1.40655e-16
-220.155       -0.18461
-219.76       -1.3988e-15
-219.142       -1.59519e-15
-219.14       -7.02986e-15
-218.857       -0.527178
-217.837       -4.00472e-15
-217.744       -2.05203e-15
-217.67       -2.10803e-15
-217.48       0.2947
-217.318       7.18991e-15
-216.915       1.43781e-14
-216.826       -0.246035
-216.596       -7.98853e-15
-216.328       0.0791677
-216.17       -0.0108974
-215.914       -2.24063e-14
-215.726       0.49728
-215.466       5.41894e-14
-215.336       -0.532728
-215.169       -2.39679e-14
-214.866       -4.60744e-15
-214.58       -5.02887e-15
-214.089       -8.04344e-16
-213.499       -2.91524e-16
-212.798       -9.94738e-16
-212.617       -2.1152e-15
-212.214       0.431411
-212.124       2.27553e-14
-211.82       2.60845e-14
-211.624       -1.41518e-13
-211.273       0.902714
-211.046       -5.34271e-15
-210.785       -5.52958e-15
-210.55       6.8702e-15
-210.138       8.41047e-15
-209.873       3.03074e-15
-209.762       9.16048e-16
-209.41       1.67502e-15
-209.209       -1.68626
-209.168       5.72318e-15
-208.802       0.675646
-208.669       1.20956e-15
-206.702       -0.000551935
-205.237       0.37576
-204.798       1.12405e-15
-204.3       -1.43923e-15
-203.669       -3.57118e-17
-202.683       5.39307e-17
-202.488       2.07939e-16
-202.015       -0.117993
-193.487       1.07699e-17
-189.534       3.93888e-15
-189.245       -7.37603e-16
-189.069       -3.77038e-16
-187.967       -8.64656e-15
-187.925       -0.386927
-187.755       -4.73834e-16
-187.712       -2.17084e-15
-187.654       -2.25608e-15
-187.023       1.26808e-16
-186.646       -6.30781e-15
-186.63       -3.77322e-15
-185.053       -1.48933e-14
-184.955       -1.71292e-14
-184.86       -5.92392e-15
-184.224       2.72291e-12
-184.179       1.38524
-182.638       -0.0926111
-182.633       -4.66832e-13
-181.97       1.83196e-15
-181.244       0.204804
-180.881       -0.138013
-180.651       0.113469
-180.442       -1.65764e-14
-179.4       -0.361419
-179.097       1.57718e-14
-178.868       1.61269e-14
-177.479       1.01901
-177.39       -1.27146e-13
-177.224       -4.93775e-14
-176.195       -0.748241
-175.8       2.25176e-14
-175.099       7.71059e-14
-175.014       1.07427
-174.729       -0.418631
-173.727       0.21867
-172.993       -1.91217e-14
-172.917       -0.417244
-172.517       7.43221e-15
-172.131       4.24837e-16
-170.664       0.28295
-169.661       -4.59138e-16
-168.039       -1.0088e-14
-167.921       -8.35416e-15
-167.552       -0.743458
-166.493       2.05912e-15
-166.232       0.0960984
-166.01       -0.0712189
-165.036       4.82998e-15
-164.194       0.120094
-163.969       -0.218049
-163.34       0.13468
-163.01       -9.74057e-15
-162.709       -0.118501
-162.011       2.79986e-15
-161.14       1.61859e-15
-160.728       1.96774e-15
-160.044       0.332159
-159.005       -2.32651e-15
-158.139       -2.05421e-14
-157.824       -0.913728
-157.682       0.290323
-157.07       -1.62982e-14
-156.606       -0.285424
-156.176       0.68273
-155.902       -3.19844e-14
-155.625       -0.207372
-154.99       0.168863
-154.713       -3.57293e-15
-154.276       -9.25676e-16
-153.035       -0.0415935
-152.507       6.53379e-16
-152.082       6.12666e-16
-151.187       5.20091e-16
-150.904       0.0419987
-150.734       -2.82971e-15
-150.531       -2.08255e-15
-150.044       -1.03641e-16
-149.624       -2.41734e-15
-149.273       -4.89977e-15
-149.034       -0.0655455
-148.947       1.16977e-14
-148.864       2.216e-16
-148.563       -1.45781
-148.332       5.91721e-15
-147.203       1.38803e-14
-145.874       -3.07367e-16
-145.841       -4.32e-16
-145.819       4.42966e-15
-144.188       0.139495
-144.026       -1.48848e-15
-143.989       3.71621e-15
-137.493       -0.476809
-125.042       2.58913e-15
-124.993       5.26195e-16
-124.922       1.72203e-15
-124.176       3.25975e-15
-124.003       1.29713e-15
-123.971       0.194691
-123.861       -4.46973e-16
-123.833       -1.01367e-16
-123.426       4.12202e-15
-123.127       7.21888e-15
-123.103       3.24321e-15
-122.872       -8.76565e-16
-122.715       8.54866e-16
-122.671       1.11059e-15
-122.569       8.92809e-16
-122.28       1.73237e-15
-120.528       1.88299e-14
-120.344       6.25746e-15
-120.102       4.4184e-15
-119.796       -4.2345e-15
-119.755       -0.348478
-119.691       -1.07361e-15
-119.537       8.71644e-16
-119.179       4.00286e-15
-118.816       7.11093e-15
-118.783       0.27331
-118.42       9.55106e-15
-118.24       1.30521e-14
-117.901       5.88379e-15
-117.645       6.77848e-15
-117.567       6.92897e-15
-117.141       -0.166363
-116.738       -4.69971e-15
-116.701       1.76695
-116.636       -1.78727e-15
-116.527       -1.48321e-16
-116.341       6.7711e-15
-116.297       2.80238e-15
-115.542       -0.374131
-115.415       -1.84314e-16
-115.334       -1.00104e-14
-114.844       -3.13012e-15
-114.742       -2.73514e-14
-114.739       -1.03964e-14
-114.052       -9.62592e-15
-113.865       -6.20454e-15
-113.507       -5.11954e-15
-113.137       -1.06815e-15
-113.087       -3.71542e-15
-113.015       0.0883083
-112.839       -1.00289e-15
-112.817       -5.49589e-15
-112.72       -1.50414e-15
-112.613       -0.448312
-112.308       8.74347e-15
-111.245       5.16522e-17
-111.245       -3.37408e-15
-111.195       -1.95374e-15
-109.966       0.230324
-109.495       1.26801e-15
-109.495       4.44435e-17
-108.701       -3.19298e-16
-107.671       -0.139371
-86.0001       -9.89743e-16
-84.9181       1.2863e-15
-84.9181       1.09458e-15
-84.5416       -3.50523e-16
-84.3583       3.21701e-16
-84.2061       3.95935e-17
-84.2061       -5.19497e-16
-84.1224       1.18868e-16
-84.1224       1.77823e-16
-83.7256       -2.19955e-17
-83.7012       -9.78703e-17
-83.7       8.74659e-17
-83.6739       -8.37405e-17
-83.2656       1.81893e-17
-83.2656       1.94727e-16
-82.7229       -1.92732e-15
-82.1728       3.79043e-15
-81.5173       -5.41189e-15
-81.5173       -4.38764e-15
-80.956       7.63584e-15
-80.7863       1.07051
-80.3635       -3.51837e-15
-80.359       1.77163e-16
-80.359       9.03321e-15
-79.6971       1.44672e-14
-79.5217       8.49195e-17
-79.5217       -1.97204e-15
-79.4808       6.12263e-16
-78.202       -8.24839e-16
-77.89       2.76582e-15
-77.89       -2.88745e-17
-76.774       3.16073e-15
-76.0566       -1.8286e-13
