#
#
#   Lonertzian-smoothed PARTICLE spectral function (both aprticle and hole) as
#  function of momentum and energy
#
#      Range [Ef+ -:- E_max] = -43.7967  -:-  246.649 MeV
#
#      E_F = -50.9208 MeV
#
#
#    k              E               A(k,E)

0    -49.7967       0.000326917
0    -49.6767       0.00032368
0    -49.5567       0.000320494
0    -49.4367       0.000317358
0    -49.3167       0.000314272
0    -49.1967       0.000311235
0    -49.0767       0.000308244
0    -48.9567       0.0003053
0    -48.8367       0.000302402
0    -48.7167       0.000299547
0    -48.5967       0.000296737
0    -48.4767       0.000293968
0    -48.3567       0.000291242
0    -48.2367       0.000288556
0    -48.1167       0.000285911
0    -47.9967       0.000283305
0    -47.8767       0.000280737
0    -47.7567       0.000278206
0    -47.6367       0.000275713
0    -47.5167       0.000273256
0    -47.3967       0.000270835
0    -47.2767       0.000268448
0    -47.1567       0.000266095
0    -47.0367       0.000263776
0    -46.9167       0.00026149
0    -46.7967       0.000259235
0    -46.6767       0.000257013
0    -46.5567       0.000254821
0    -46.4367       0.00025266
0    -46.3167       0.000250528
0    -46.1967       0.000248426
0    -46.0767       0.000246352
0    -45.9567       0.000244307
0    -45.8367       0.000242289
0    -45.7167       0.000240299
0    -45.5967       0.000238335
0    -45.4767       0.000236397
0    -45.3567       0.000234485
0    -45.2367       0.000232598
0    -45.1167       0.000230737
0    -44.9967       0.000228899
0    -44.8767       0.000227085
0    -44.7567       0.000225295
0    -44.6367       0.000223528
0    -44.5167       0.000221784
0    -44.3967       0.000220061
0    -44.2767       0.000218361
0    -44.1567       0.000216682
0    -44.0367       0.000215025
0    -43.9167       0.000213388
0    -43.7967       0.000211772
0    -43.6767       0.000210176
0    -43.5567       0.000208599
0    -43.4367       0.000207042
0    -43.3167       0.000205504
0    -43.1967       0.000203985
0    -43.0767       0.000202484
0    -42.9567       0.000201002
0    -42.8367       0.000199537
0    -42.7167       0.00019809
0    -42.5967       0.000196661
0    -42.4767       0.000195248
0    -42.3567       0.000193852
0    -42.2367       0.000192473
