#
#
#   Lonertzian-smoothed PARTICLE spectral function (both aprticle and hole) as
#  function of momentum and energy
#
#
#    k              E               A(k,E)

1.39479    -42.2898       0
1.39479    -42.2898       0.265258
1.39479    -42.2898       0


1.61057    -23.4869       0
1.61057    -23.4869       0.265258
1.61057    -23.4869       0


1.80067    -6.25941       0
1.80067    -6.25941       0.265258
1.80067    -6.25941       0


1.97253    9.45202       0
1.97253    9.45202       0.265258
1.97253    9.45202       0


2.27768    40.1042       0
2.27768    40.1042       0.265258
2.27768    40.1042       0


2.41585    55.2383       0
2.41585    55.2383       0.265258
2.41585    55.2383       0


2.41585    55.1201       0
2.41585    55.1201       0.265258
2.41585    55.1201       0


2.54653    69.319       0
2.54653    69.319       0.265258
2.54653    69.319       0

