#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 0 fm^-1 (group = 0)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-167.888       0.176053
-167.726       3.19074e-15
-167.043       5.11788e-18
-167.043       1.42111e-15
-167.043       6.46551e-17
-166.574       1.13722e-16
-166.574       1.54579e-16
-166.574       3.44878e-17
-166.45       2.15302e-16
-166.45       9.62389e-19
-166.449       1.19446e-15
-166.449       1.62114e-16
-166.449       2.34814e-15
-166.373       1.08045e-16
-166.373       6.83141e-16
-166.373       5.25981e-15
-166.237       1.55879e-17
-166.237       2.13947e-15
-166.237       1.31237e-15
-166.174       8.77033e-16
-166.174       1.44866e-16
-166.126       8.52352e-17
-166.126       9.95562e-16
-166.126       5.26072e-16
-164.881       3.09662e-17
-164.702       9.90807e-16
-164.702       5.16314e-16
-164.702       1.12346e-16
-164.549       1.78788e-16
-164.549       5.66067e-18
-164.549       5.21819e-16
-164.482       5.65184e-17
-164.482       3.55779e-16
-164.459       5.49175e-17
-164.459       9.41727e-17
-164.459       1.36109e-17
-161.43       2.76511e-15
-161.43       2.24223e-16
-161.43       1.18998e-16
-161.41       1.73641e-15
-161.41       7.99095e-16
-161.2       0.123586
-161.188       1.60913e-13
-161.188       1.01877e-15
-161.187       1.62794e-13
-160.897       6.75462e-15
-160.897       2.41321e-16
-160.897       7.8336e-16
-153.335       1.00206e-14
-153.01       0.244716
-151.986       7.28584e-17
-151.986       1.47989e-15
-151.986       1.93386e-15
-151.337       1.08753e-15
-151.337       7.13995e-16
-151.262       2.88733e-15
-151.262       1.54852e-15
-151.24       2.24701e-15
-151.24       5.04805e-16
-150.996       6.39412e-16
-149.993       1.18984e-16
-149.992       2.86241e-16
-149.685       2.52701e-15
-149.685       3.41741e-16
-149.596       1.42247e-16
-149.596       1.59656e-15
-148.814       1.0551e-15
-148.813       5.15386e-15
-148.655       0.175793
-147.772       3.42766e-15
-147.551       1.03184e-15
-147.265       6.69133e-16
-147.255       1.99561e-17
-147.141       1.06445e-15
-146.773       1.57807e-15
-146.766       2.08208e-16
-146.472       2.56088e-16
-146.251       1.54481e-15
-146.063       4.69584e-16
-145.837       4.07077e-16
-145.82       5.28915e-16
-145.019       3.70908e-16
-144.781       7.98348e-16
-144.449       4.36879e-16
-144.417       3.82988e-15
-144.154       0.0412081
-143.64       5.90527e-16
-143.375       4.9689e-16
-143.352       6.23416e-19
-143.062       2.78899e-15
-142.559       4.6612e-14
-142.556       2.60143e-13
-142.515       0.246171
-142.438       1.0407e-13
-141.942       4.14425e-15
-141.932       3.84623e-14
-141.749       3.7418e-15
-141.73       5.5355e-15
-141.612       4.98484e-15
-141.049       2.37917e-15
-140.969       2.07972e-15
-140.919       1.1395e-16
-140.754       2.4748e-15
-140.194       4.03323e-17
-140.1       2.93537e-15
-139.91       1.6662e-15
-139.805       4.54498e-16
-139.616       8.42425e-16
-139.456       4.61816e-16
-139.274       1.49018e-15
-139.034       6.03695e-15
-138.818       1.30104e-16
-138.037       5.04776e-15
-137.918       1.22006e-14
-137.68       4.57325e-14
-137.472       0.325033
-137.421       7.07832e-15
-137.179       4.12864e-16
-137.022       1.40686e-15
-136.84       2.44683e-15
-136.648       4.50161e-15
-136.289       8.17055e-16
-136.098       4.19803e-16
-135.87       2.02479e-15
-135.624       4.01632e-15
-135.371       9.51062e-16
-135.161       1.02592e-14
-134.955       0.0953649
-134.822       3.0323e-15
-134.61       1.05818e-15
-134.384       8.41341e-16
-134.068       2.02442e-15
-133.839       1.12627e-15
-133.433       2.48608e-16
-133.209       1.29177e-15
-133.078       0.203518
-132.93       2.58777e-15
-132.854       2.38524e-15
-132.642       2.38308e-15
-132.28       1.32078e-15
-132.11       1.56125e-17
-131.951       2.25167e-15
-131.723       1.83447e-16
-131.626       1.01573e-15
-131.309       3.71556e-16
-131.092       2.28983e-16
-131.003       1.01481e-16
-130.881       7.91034e-16
-130.746       1.26071e-15
-130.688       1.29454e-16
-130.542       9.47322e-16
-130.496       1.92018e-15
-130.195       9.2301e-16
-129.652       2.07048e-16
-129.556       8.19163e-16
-129.485       3.00478e-16
-128.382       1.0129e-16
-128.346       1.63885e-16
-128.273       8.91443e-16
-127.696       2.87121e-16
-127.573       4.77049e-18
-127.532       8.46481e-16
-124.387       2.19837e-16
-124.387       1.19571e-15
-124.357       2.36153e-18
