#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 1.97253 fm^-1 (group = 11)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-248.979       7.8155e-18
-247.569       0.00080861
-247.08       1.36675e-17
-246.477       7.13825e-18
-246.111       4.09369e-18
-246.023       1.17763e-17
-245.845       8.85002e-18
-245.672       1.97793e-17
-244.782       7.14051e-18
-244.232       0.00193671
-243.155       7.64771e-18
-242.814       5.85603e-18
-242.664       1.10694e-17
-242.036       1.01326e-17
-242.034       1.37994e-17
-241.491       0.00123107
-241.155       4.37893e-19
-239.994       0.000274984
-239.983       1.00748e-16
-239.701       2.19994e-17
-239.378       6.91664e-18
-239.364       5.28703e-17
-239.279       5.54032e-17
-239.152       0.000891377
-239.101       2.53999e-16
-238.954       9.7369e-17
-238.857       1.05968e-16
-238.775       0.000648347
-238.66       4.13187e-17
-238.277       5.28259e-18
-238.19       4.30423e-18
-238.106       1.09002e-17
-238.021       0.000108926
-237.912       3.06018e-17
-237.799       2.42192e-17
-237.633       8.81239e-18
-237.075       1.52457e-17
-237.038       3.88449e-18
-236.707       1.7659e-17
-236.569       1.39647e-18
-235.623       4.42065e-17
-235.185       0.00120434
-234.308       1.56716e-17
-234.252       8.87427e-18
-233.249       0.00206768
-232.999       1.07273e-16
-232.58       0.00350568
-232.453       2.37096e-16
-231.923       1.18813e-17
-231.468       0.000101368
-230.989       5.15834e-18
-230.376       2.94959e-17
-228.611       2.48978e-17
-228.445       0.000892812
-223.304       1.0909e-17
-222.888       0.0011856
-222.44       1.78255e-17
-219.269       0.000561519
-212.258       2.12723e-18
-211.943       4.37723e-17
-211.182       1.28749e-18
-210.934       8.67362e-19
-210.788       0.00036699
-210.756       8.41341e-17
-210.527       1.38778e-17
-210.266       0
-210.191       7.43681e-05
-209.994       5.55112e-17
-209.513       2.5327e-16
-209.117       2.77556e-16
-209.078       0.00086126
-208.959       5.20417e-17
-207.927       2.74086e-16
-206.804       3.1572e-16
-206.743       0.000481698
-206.377       0.00288411
-205.44       0.000314196
-204.663       0.00416085
-204.303       0.00289512
-203.763       0.00186863
-203.433       0.000207184
-202.952       0.00288449
-202.431       0.0011971
-202.265       0.000196343
-202.176       0.00315796
-201.925       0.000376054
-201.87       0.00170803
-201.549       0.00193201
-201.271       0.000364879
-200.95       0.00128078
-200.565       0.000551716
-200.429       0.00207702
-200.115       1.62681e-05
-199.304       0.00260198
-199.091       0.00159959
-198.589       0.000200086
-198.191       0.00233643
-197.864       0.00399932
-197.697       0.00309434
-197.529       0.00275438
-196.771       0.00233263
-196.529       0.000759994
-196.069       0.00473342
-195.645       0.00554267
-195.437       0.00529809
-195.04       0.00427076
-194.791       0.0022626
-194.326       0.00147148
-194.032       0.0032976
-193.727       0.000539375
-193.538       0.000823741
-192.66       0.00323042
-192.361       0.00348238
-191.156       0.000121536
-190.846       0.00300985
-190.42       0.00141792
-190.136       0.00200469
-190.09       0.000160684
-189.888       0.00207282
-189.271       0.000239219
-189.052       0.000490266
-188.687       0.000720856
-188.364       0.00147876
-187.91       0.00119869
-187.756       0.000384858
-187.52       0.00182899
-186.875       0.00184525
-185.991       0.000737541
-182.864       0.00321968
-182.261       0.00140059
-180.909       0.00128846
-180.49       0.000848848
-180.215       1.13441e-05
-179.27       0.000111896
-178.04       2.8674e-05
-177.806       0.000595695
-177.539       0.000756769
-177.113       0.00192194
-175.826       0.00351553
-175.602       0.00242021
-174.819       0.00238257
-173.788       0.00423416
-173.34       0.00282052
-172.833       0.000462985
-172.322       0.00111947
-172.026       0.000462047
-170.671       0.0012324
-170.188       0.000798599
-168.115       0.0014742
-167.761       1.39428e-16
-167.404       0.00383041
-166.301       0.00337087
-166.033       0.000262303
-165.538       0.00460321
-163.73       4.33681e-17
-162.809       3.20924e-16
-162.696       0.00231326
-162.306       0.00696957
-161.678       0.0100642
-161.467       8.67362e-17
-160.441       0.00167183
-160.234       0.000808578
-158.962       8.46524e-05
-158.295       9.21572e-17
-158.184       0.00639002
-152.147       3.98986e-17
-150.701       0.000931432
-150.672       1.2837e-16
-149.53       3.98986e-17
-149.27       0.00326896
-147.705       0.00314443
-146.477       0.000405079
-146.008       0.00718737
-144.463       1.99214e-05
-143.899       0.00118539
-143.68       0.00113807
-143.25       0.00432877
-143.151       5.49198e-07
-142.837       0.00292812
-142.229       0.0029872
-141.892       0.00468625
-141.7       0.00693078
-141.559       0.00136667
-141.354       0.00674768
-140.966       0.00325875
-140.422       0.00307443
-140.191       0.00408778
-139.717       0.00318691
-139.378       0.00488795
-139.198       0.00980591
-138.615       0.00561231
-138.168       0.00641264
-137.878       0.0152716
-137.298       0.00503851
-136.82       0.00278424
-136.456       0.00379303
-136.204       0.00426721
-135.927       0.00589223
-135.413       0.00382467
-135.231       0.00414165
-134.787       0.00434046
-134.529       0.00581286
-134.195       0.00519309
-133.635       0.00313577
-133.396       0.0052183
-133.209       0.00182441
-132.643       0.00418512
-132.283       0.00308107
-131.997       0.00171817
-131.708       0.00582406
-131.583       0.00480451
-131.232       0.000880942
-130.802       0.00537212
-130.723       0.00438081
-130.443       0.00454011
-130.291       0.00243242
-130.235       0.00242454
-129.932       0.0014016
-129.379       0.000621169
-129.019       0.00498438
-128.83       6.85572e-05
-128.243       0.000132696
-127.916       0.00154966
-127.616       0.00196618
-126.854       0.00131397
-126.588       0.00281457
-126.137       0.0024113
-125.777       0.00139509
-125.287       3.33067e-16
-122.232       3.0705e-17
-121.309       0.00181378
-119.997       4.59899e-16
-119.817       0.0115407
-119.514       0.0153378
-116.787       0.00773212
-108.386       7.28779e-17
-108.14       8.59359e-17
-106.923       7.21537e-17
-106.86       0.000931023
-106.728       1.51433e-16
-106.644       1.13841e-17
-106.237       8.23452e-17
-106.139       9.58435e-17
-105.52       7.45931e-17
-105.377       5.80541e-05
-105.273       4.64906e-16
-105.157       0.00040823
-105.096       6.76542e-17
-104.812       8.1532e-17
-104.645       3.46945e-16
-104.564       0.00163624
-104.374       1.04083e-17
-104.249       1.47451e-16
-104.092       1.07553e-16
-103.257       6.36698e-17
-102.854       1.249e-16
-102.73       1.98626e-16
-102.59       1.78677e-16
-102.525       0.00270026
-102.296       0.00141671
-102.292       3.46945e-18
-101.955       1.73472e-16
-101.814       4.16334e-17
-101.605       0.0129025
-101.391       1.43115e-15
-101.127       0.0067819
-100.994       2.4774e-16
-100.822       1.98517e-16
-100.62       1.94289e-16
-100.586       1.56125e-16
-100.31       2.37874e-16
-100.152       9.28077e-17
-99.8064       9.22168e-16
-99.7068       3.28947e-16
-99.4682       2.55004e-16
-99.4311       0.00905866
-99.338       2.90057e-15
-99.2152       0.00048991
-99.165       3.29294e-15
-99.0677       0.00593624
-98.9343       1.24795e-16
-98.6922       0.00227813
-98.5773       3.33629e-16
-98.3259       0.00212077
-98.0799       5.01185e-16
-98.0255       0.0040815
-98.0228       6.99667e-16
-97.54       0.0104318
-97.4546       1.69898e-15
-96.8328       5.177e-17
-96.3586       2.91243e-16
-95.8373       0.00201584
-95.5541       1.39175e-16
-94.903       0.00573002
-94.8882       8.93071e-16
-94.1191       0.000608301
-93.4821       6.89753e-17
-91.7971       0.00316724
-82.944       1.79614e-15
-82.742       0.0423704


-42.7973       0.106593
-28.4338       1.0417e-16
-27.9782       0.0258055
-27.4382       0.00447499
-27.1639       1.921e-16
-26.5168       0.0234369
-26.2534       3.15917e-16
-25.7914       0.02004
-25.1187       2.55301e-16
-24.3115       5.1153e-16
-24.24       0.0689192
-24.233       2.06799e-15
-23.6664       0.00256168
-23.3963       5.24145e-17
-23.231       0.00422752
-23.0643       7.17843e-17
