#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 2.27768 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-301.432       3.32902e-06       2.27768
-300.732       3.34299e-06       2.27768
-300.032       3.35706e-06       2.27768
-299.332       3.37121e-06       2.27768
-298.632       3.38546e-06       2.27768
-297.932       3.3998e-06       2.27768
-297.232       3.41423e-06       2.27768
-296.532       3.42876e-06       2.27768
-295.832       3.44338e-06       2.27768
-295.132       3.45811e-06       2.27768
-294.432       3.47292e-06       2.27768
-293.732       3.48784e-06       2.27768
-293.032       3.50286e-06       2.27768
-292.332       3.51798e-06       2.27768
-291.632       3.5332e-06       2.27768
-290.932       3.54852e-06       2.27768
-290.232       3.56395e-06       2.27768
-289.532       3.57948e-06       2.27768
-288.832       3.59512e-06       2.27768
-288.132       3.61086e-06       2.27768
-287.432       3.62672e-06       2.27768
-286.732       3.64268e-06       2.27768
-286.032       3.65876e-06       2.27768
-285.332       3.67495e-06       2.27768
-284.632       3.69125e-06       2.27768
-283.932       3.70766e-06       2.27768
-283.232       3.7242e-06       2.27768
-282.532       3.74085e-06       2.27768
-281.832       3.75762e-06       2.27768
-281.132       3.77451e-06       2.27768
-280.432       3.79153e-06       2.27768
-279.732       3.80866e-06       2.27768
-279.032       3.82593e-06       2.27768
-278.332       3.84332e-06       2.27768
-277.632       3.86085e-06       2.27768
-276.932       3.8785e-06       2.27768
-276.232       3.89629e-06       2.27768
-275.532       3.91422e-06       2.27768
-274.832       3.93229e-06       2.27768
-274.132       3.95049e-06       2.27768
-273.432       3.96885e-06       2.27768
-272.732       3.98735e-06       2.27768
-272.032       4.006e-06       2.27768
-271.332       4.02481e-06       2.27768
-270.632       4.04377e-06       2.27768
-269.932       4.0629e-06       2.27768
-269.232       4.0822e-06       2.27768
-268.532       4.10168e-06       2.27768
-267.832       4.12133e-06       2.27768
-267.132       4.14118e-06       2.27768
-266.432       4.16123e-06       2.27768
-265.732       4.18148e-06       2.27768
-265.032       4.20196e-06       2.27768
-264.332       4.22269e-06       2.27768
-263.632       4.24368e-06       2.27768
-262.932       4.26496e-06       2.27768
-262.232       4.28657e-06       2.27768
-261.532       4.30858e-06       2.27768
-260.832       4.33104e-06       2.27768
-260.132       4.35409e-06       2.27768
-259.432       4.37791e-06       2.27768
-258.732       4.40278e-06       2.27768
-258.032       4.42924e-06       2.27768
-257.332       4.45828e-06       2.27768
-256.632       4.4919e-06       2.27768
-255.932       4.53453e-06       2.27768
-255.232       4.59527e-06       2.27768
-254.532       4.6798e-06       2.27768
-253.832       4.73005e-06       2.27768
-253.132       4.71342e-06       2.27768
-252.432       4.71694e-06       2.27768
-251.732       4.76342e-06       2.27768
-251.032       4.82973e-06       2.27768
-250.332       4.83169e-06       2.27768
-249.632       4.80262e-06       2.27768
-248.932       4.79814e-06       2.27768
-248.232       4.81317e-06       2.27768
-247.532       4.84009e-06       2.27768
-246.832       4.87653e-06       2.27768
-246.132       4.92378e-06       2.27768
-245.432       4.98806e-06       2.27768
-244.732       5.0844e-06       2.27768
-244.032       5.23953e-06       2.27768
-243.332       5.43299e-06       2.27768
-242.632       5.48904e-06       2.27768
-241.932       5.50828e-06       2.27768
-241.232       5.6871e-06       2.27768
-240.532       6.05279e-06       2.27768
-239.832       6.31962e-06       2.27768
-239.132       6.0857e-06       2.27768
