# 66 neutrons - Minnesota potential
# rho	HF	CIMC (Nmax=25)	err	CIMC (Nmax=32)	err	CIMC (Nmax=36)	err	CIMC (Nmax=42)	err	CIMC (Nmax=48)	err	CIMC (Nmax=56)	err
0.02	4.8918269619	4.5757943904	0.0006775964	-	-	-	-	-	-	-	-	-	-
0.04	6.9875207131	6.6561460246	0.0008570991	-	-	-	-	6.4735287261	0.0015151515	6.4547208448	0.0016318681	- running	-
0.06	8.5804078451	8.1320586621	0.0006775964	-	-	7.9714751994	0.0020327891	7.9381450479	0.0013551927	- running	-	-	-
0.08	9.8847086214	9.2830870376	0.0007575758	-	-	9.1357756052	0.0020327891	9.1069303897	0.0027103854	- running	-	-	-
0.1	10.9804801748	10.2245597033	0.0013551927	-	-	10.0941195187	0.0020327891	10.0743560831	0.0032637362	- running	-	-	-
0.12	11.9099623399	11.0073836579	0.0015151515	-	-	10.899839927	0.0031637292	10.8869918514	0.0033879818	- running	-	-	-
0.14	12.6999399912	11.6658629012	0.0020327891	-	-	11.5775331731	0.0036363636	- running	-	-	-	-	-
0.16	13.3693521672	12.2192616163	0.0021851826	-	-	12.1433034824	0.0032637362	12.1424589662	0.0033879818	-	-	-	-
0.18	13.9325358846	12.6813504025	0.0027103854	12.627932625	0.0040655781	12.6242634614	0.0039393939	- running	-	-	-	-	-
0.2	14.400842961	13.0613840407	0.0027103854	13.0180135953	0.0035339102	13.0118757745	0.0040655781	- running	-	-	-	-	-
